"TIME","Amm.kg/m^3"
2021-07-04 05:59:00,1.4e-06
2021-07-04 05:59:00,NA
2021-07-04 06:59:00,1.4e-06
2021-07-04 06:59:00,NA
2021-07-04 07:59:00,1.4e-06
2021-07-04 07:59:00,NA
2021-07-04 08:59:00,1.4e-06
2021-07-04 08:59:00,NA
2021-07-04 09:59:00,1.4e-06
2021-07-04 09:59:00,NA
2021-07-04 10:59:00,1.4e-06
2021-07-04 10:59:00,NA
2021-07-04 11:59:00,1.4e-06
2021-07-04 11:59:00,NA
2021-07-04 12:59:00,1.4e-06
2021-07-04 12:59:00,NA
2021-07-04 13:59:00,1.4e-06
2021-07-04 13:59:00,NA
2021-07-04 14:59:00,1.4e-06
2021-07-04 14:59:00,NA
2021-07-04 15:59:00,1.4e-06
2021-07-04 15:59:00,NA
2021-07-04 16:59:00,1.4e-06
2021-07-04 16:59:00,NA
2021-07-04 17:59:00,1.4e-06
2021-07-04 17:59:00,NA
2021-07-04 18:59:00,1.4e-06
2021-07-04 18:59:00,NA
2021-07-04 19:59:00,1.4e-06
2021-07-04 19:59:00,NA
2021-07-04 20:59:00,1.4e-06
2021-07-04 20:59:00,NA
2021-07-04 21:59:00,1.4e-06
2021-07-04 21:59:00,NA
2021-07-04 22:59:00,1.4e-06
2021-07-04 22:59:00,NA
2021-07-04 23:59:00,1.4e-06
2021-07-04 23:59:00,NA
2021-07-05 00:59:00,1.4e-06
2021-07-05 00:59:00,NA
2021-07-05 01:59:00,1.4e-06
2021-07-05 01:59:00,NA
2021-07-05 02:59:00,1.4e-06
2021-07-05 02:59:00,NA
2021-07-05 03:59:00,1.4e-06
2021-07-05 03:59:00,NA
2021-07-05 04:59:00,1.4e-06
2021-07-05 04:59:00,NA
2021-07-05 05:59:00,1.4e-06
2021-07-05 05:59:00,NA
2021-07-05 06:59:00,1.4e-06
2021-07-05 06:59:00,NA
2021-07-05 07:59:00,1.4e-06
2021-07-05 07:59:00,NA
2021-07-05 08:59:00,1.4e-06
2021-07-05 08:59:00,NA
2021-07-05 09:59:00,1.4e-06
2021-07-05 09:59:00,NA
2021-07-05 10:59:00,1.4e-06
2021-07-05 10:59:00,NA
2021-07-05 11:59:00,1.4e-06
2021-07-05 11:59:00,NA
2021-07-05 12:59:00,1.4e-06
2021-07-05 12:59:00,NA
2021-07-05 13:59:00,1.4e-06
2021-07-05 13:59:00,NA
2021-07-05 14:59:00,1.4e-06
2021-07-05 14:59:00,NA
2021-07-05 15:59:00,1.4e-06
2021-07-05 15:59:00,NA
2021-07-05 16:59:00,1.4e-06
2021-07-05 16:59:00,NA
2021-07-05 17:59:00,1.4e-06
2021-07-05 17:59:00,NA
2021-07-05 18:59:00,1.4e-06
2021-07-05 18:59:00,NA
2021-07-05 19:59:00,1.4e-06
2021-07-05 19:59:00,NA
2021-07-05 20:59:00,1.4e-06
2021-07-05 20:59:00,NA
2021-07-05 21:59:00,1.4e-06
2021-07-05 21:59:00,NA
2021-07-05 22:59:00,1.4e-06
2021-07-05 22:59:00,NA
2021-07-05 23:59:00,1.4e-06
2021-07-05 23:59:00,NA
2021-07-06 00:59:00,1.4e-06
2021-07-06 00:59:00,NA
2021-07-06 01:59:00,1.4e-06
2021-07-06 01:59:00,NA
