"TIME","K.kg/m^3"
2021-06-23 00:53:00,0.149163
2021-06-23 01:08:00,0.14916
2021-06-23 01:23:00,0.149279
2021-06-23 01:38:00,0.148599
2021-06-23 01:53:00,0.148715
2021-06-23 02:08:00,0.148776
2021-06-23 02:23:00,0.148844
2021-06-23 02:38:00,0.14889
2021-06-23 02:53:00,0.148959
2021-06-23 03:08:00,0.148977
2021-06-23 03:23:00,0.149094
2021-06-23 03:38:00,0.14916
2021-06-23 03:53:00,0.149167
2021-06-23 04:08:00,0.149243
2021-06-23 04:23:00,0.149186
2021-06-23 04:38:00,0.150007
2021-06-23 04:53:00,0.149923
2021-06-23 05:08:00,0.149961
2021-06-23 05:23:00,0.149255
2021-06-23 05:38:00,0.149194
2021-06-23 05:53:00,0.149117
2021-06-23 06:08:00,0.149095
2021-06-23 06:23:00,0.149012
2021-06-23 06:38:00,0.148915
2021-06-23 06:53:00,0.148773
2021-06-23 07:08:00,0.148807
2021-06-23 07:23:00,0.148745
2021-06-23 07:38:00,0.149454
2021-06-23 08:04:00,0.148721
2021-06-23 08:33:00,0.148103
2021-06-23 08:48:00,0.147614
2021-06-23 09:03:00,0.147184
2021-06-23 09:18:00,0.146922
2021-06-23 09:33:00,0.146555
2021-06-23 09:48:00,0.146116
2021-06-23 10:03:00,0.145759
2021-06-23 10:18:00,0.145446
2021-06-23 10:33:00,0.14515
2021-06-23 10:48:00,0.144866
2021-06-23 11:03:00,0.144534
2021-06-23 11:18:00,0.144445
2021-06-23 11:33:00,0.1443
2021-06-23 11:48:00,0.144045
2021-06-23 12:03:00,0.143936
2021-06-23 12:18:00,0.143862
2021-06-23 12:33:00,0.143767
2021-06-23 12:48:00,0.143768
2021-06-23 13:03:00,0.143744
2021-06-23 13:18:00,0.143524
2021-06-23 13:33:00,0.14347
2021-06-23 13:48:00,0.143644
2021-06-23 14:03:00,0.143638
2021-06-23 14:18:00,0.143886
2021-06-23 14:33:00,0.143919
2021-06-23 14:48:00,0.143973
2021-06-23 15:03:00,0.144212
